# Session started 2026-05-22T16:23:33.483481
# [UTC] Fusion Fix | Accel(m/s²) X Y Z  Gyro(°/s) X Y Z | Veh(m/s²) X Y Z  Hdg(°) | Spd(m/s) VelN VelE VelD | Lat Lon | hAcc vAcc | HDOP VDOP PDOP | NAV-ATT Roll Pitch Hdg
[20:23:34.440000] — Fix:3D | Accel(m/s²) X:-0.1475 Y:+0.1852 Z:+9.9723  Gyro(°/s) X:-0.1720 Y:+0.0049 Z:-0.0876 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.022m/s VN:+0.021 VE:+0.006 VD:+0.017 | Lat:43.515354 Lon:-79.683962 | hAcc:0.637m vAcc:0.844m | HDOP:0.84 VDOP:1.08 PDOP:1.37 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
# Session started 2026-05-22T16:23:49.491285
# [UTC] Fusion Fix | Accel(m/s²) X Y Z  Gyro(°/s) X Y Z | Veh(m/s²) X Y Z  Hdg(°) | Spd(m/s) VelN VelE VelD | Lat Lon | hAcc vAcc | HDOP VDOP PDOP | NAV-ATT Roll Pitch Hdg
[20:23:50.440000] — Fix:3D | Accel(m/s²) X:-0.1564 Y:+0.1820 Z:+9.9725  Gyro(°/s) X:-0.2985 Y:-0.0452 Z:-0.0950 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.017m/s VN:-0.001 VE:+0.017 VD:+0.002 | Lat:43.515354 Lon:-79.683956 | hAcc:0.604m vAcc:0.912m | HDOP:0.86 VDOP:1.2 PDOP:1.48 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:23:51.430000] — Fix:3D | Accel(m/s²) X:-0.1434 Y:+0.1682 Z:+9.9653  Gyro(°/s) X:-0.1909 Y:+0.0071 Z:-0.0872 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.020m/s VN:+0.015 VE:+0.013 VD:+0.005 | Lat:43.515354 Lon:-79.683956 | hAcc:0.604m vAcc:0.915m | HDOP:0.86 VDOP:1.2 PDOP:1.48 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:23:52.360000] — Fix:3D | Accel(m/s²) X:-0.1490 Y:+0.1634 Z:+9.9658  Gyro(°/s) X:-0.2059 Y:+0.0063 Z:-0.0855 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.003m/s VN:-0.001 VE:+0.003 VD:+0.003 | Lat:43.515354 Lon:-79.683956 | hAcc:0.606m vAcc:0.92m | HDOP:0.81 VDOP:1.09 PDOP:1.36 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:23:53.450000] — Fix:3D | Accel(m/s²) X:-0.1440 Y:+0.1789 Z:+9.9730  Gyro(°/s) X:-0.2050 Y:+0.0009 Z:-0.0974 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.010m/s VN:-0.008 VE:-0.007 VD:+0.000 | Lat:43.515355 Lon:-79.683956 | hAcc:0.606m vAcc:0.922m | HDOP:0.81 VDOP:1.09 PDOP:1.36 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:23:54.440000] Initializing Fix:3D | Accel(m/s²) X:-0.1467 Y:+0.1596 Z:+9.9620  Gyro(°/s) X:-0.2058 Y:-0.0002 Z:-0.0786 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.008m/s VN:+0.003 VE:-0.008 VD:-0.002 | Lat:43.515356 Lon:-79.683957 | hAcc:0.612m vAcc:0.93m | HDOP:0.81 VDOP:1.09 PDOP:1.36 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:23:55.430000] Initializing Fix:3D | Accel(m/s²) X:-0.1456 Y:+0.1752 Z:+9.9714  Gyro(°/s) X:-0.1674 Y:+0.0024 Z:-0.0864 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.026m/s VN:+0.024 VE:-0.008 VD:-0.008 | Lat:43.515357 Lon:-79.683957 | hAcc:0.614m vAcc:0.935m | HDOP:0.81 VDOP:1.09 PDOP:1.36 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:23:56.420000] Initializing Fix:3D | Accel(m/s²) X:-0.1472 Y:+0.1593 Z:+9.9593  Gyro(°/s) X:-0.1825 Y:+0.0248 Z:-0.0927 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.023m/s VN:+0.017 VE:-0.015 VD:-0.008 | Lat:43.515358 Lon:-79.683958 | hAcc:0.615m vAcc:0.937m | HDOP:0.81 VDOP:1.09 PDOP:1.36 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:23:57.370000] Initializing Fix:3D | Accel(m/s²) X:-0.1460 Y:+0.1752 Z:+9.9703  Gyro(°/s) X:-0.1980 Y:-0.0041 Z:-0.0889 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.038m/s VN:+0.035 VE:-0.016 VD:-0.007 | Lat:43.515359 Lon:-79.683958 | hAcc:0.615m vAcc:0.938m | HDOP:0.81 VDOP:1.09 PDOP:1.36 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
