[08:38:37.203639] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2319012 Ay:-1583483 Az:164312375 Gx:39691 Gy:-18962 Gz:88529 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153387,-79.6838915 σLat:2.2702m σLon:2.0588m SVs:13/8 SOL_COMPUTED SINGLE
[08:38:37.425156] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2085528 Ay:-1788987 Az:164287103 Gx:26290 Gy:-149449 Gz:93592 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153386,-79.6838898 σLat:2.2717m σLon:2.0594m SVs:14/8 SOL_COMPUTED SINGLE
[08:38:37.663173] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:1805340 Ay:-1685392 Az:163977760 Gx:72651 Gy:-37396 Gz:86214 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153117,-79.6838553 σLat:2.0216m σLon:2.0583m SVs:16/10 SOL_COMPUTED SINGLE
[08:38:37.900325] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2097746 Ay:-1807057 Az:164294284 Gx:127342 Gy:223018 Gz:106115 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153107,-79.6838516 σLat:2.0300m σLon:2.0578m SVs:16/10 SOL_COMPUTED SINGLE
[08:38:38.611215] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2090614 Ay:-1505562 Az:164219053 Gx:437 Gy:-89554 Gz:86139 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153148,-79.6838474 σLat:2.0242m σLon:2.0561m SVs:16/10 SOL_COMPUTED SINGLE
[08:38:39.606713] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2215258 Ay:-1787194 Az:164360703 Gx:29800 Gy:-209561 Gz:11302 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153206,-79.6838423 σLat:2.0181m σLon:2.0547m SVs:16/10 SOL_COMPUTED SINGLE
[08:38:40.608093] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:1688431 Ay:-1704436 Az:163954715 Gx:16898 Gy:-52792 Gz:81009 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153929,-79.6839510 σLat:1.5861m σLon:1.5109m SVs:16/11 SOL_COMPUTED SINGLE
[08:38:41.607772] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2268929 Ay:-1519133 Az:164289353 Gx:13638 Gy:19701 Gz:93632 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153877,-79.6839487 σLat:1.5769m σLon:1.5138m SVs:16/11 SOL_COMPUTED SINGLE
[08:38:42.608577] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2545478 Ay:-1813353 Az:164927338 Gx:71578 Gy:-129945 Gz:64658 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153823,-79.6839456 σLat:1.5769m σLon:1.5115m SVs:16/11 SOL_COMPUTED SINGLE
[08:38:43.607156] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2241846 Ay:-1762231 Az:164318148 Gx:10627 Gy:-16654 Gz:60601 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153799,-79.6839428 σLat:1.5789m σLon:1.5126m SVs:16/11 SOL_COMPUTED SINGLE
[08:38:44.606951] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2165893 Ay:-1798453 Az:164326719 Gx:32079 Gy:-51703 Gz:96799 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153823,-79.6839402 σLat:1.5795m σLon:1.5101m SVs:16/11 SOL_COMPUTED SINGLE
