[09:17:26.512688] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2128407 Ay:-1188008 Az:164331981 Gx:-16659 Gy:-152733 Gz:27774 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5154050,-79.6837617 σLat:1.6560m σLon:1.9685m SVs:17/13 SOL_COMPUTED SINGLE
[09:17:29.255605] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2427260 Ay:-1253495 Az:164538055 Gx:-84735 Gy:75870 Gz:34227 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153984,-79.6839303 σLat:1.5538m σLon:1.5439m SVs:17/15 SOL_COMPUTED SINGLE
[09:17:32.762997] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2317537 Ay:-1198358 Az:164423078 Gx:25312 Gy:11299 Gz:36613 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153737,-79.6839720 σLat:1.6689m σLon:1.6238m SVs:15/15 SOL_COMPUTED SINGLE
[09:17:35.630817] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2186914 Ay:-1188490 Az:164384150 Gx:38198 Gy:2648 Gz:2803 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153736,-79.6839717 σLat:1.6682m σLon:1.6210m SVs:15/15 SOL_COMPUTED SINGLE
[09:17:38.152885] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2085127 Ay:-1311573 Az:164360113 Gx:-100034 Gy:-397107 Gz:-62279 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153733,-79.6839710 σLat:1.6685m σLon:1.6236m SVs:16/15 SOL_COMPUTED SINGLE
[09:17:40.682447] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2158237 Ay:-1405304 Az:164288598 Gx:15718 Gy:53484 Gz:14884 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153732,-79.6839701 σLat:1.6685m σLon:1.6255m SVs:16/15 SOL_COMPUTED SINGLE
[09:17:43.518414] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2246331 Ay:-1500178 Az:164290966 Gx:-42265 Gy:-40403 Gz:-18168 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153731,-79.6839694 σLat:1.6683m σLon:1.6287m SVs:16/15 SOL_COMPUTED SINGLE
[09:17:46.486405] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2217108 Ay:-1305702 Az:164334104 Gx:-20362 Gy:28128 Gz:47126 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153711,-79.6836017 σLat:2.7501m σLon:1.9797m SVs:16/7 SOL_COMPUTED SINGLE
[09:17:49.205613] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2149697 Ay:-1244746 Az:164309489 Gx:-31324 Gy:9440 Gz:32952 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153731,-79.6839679 σLat:1.6684m σLon:1.6300m SVs:15/15 SOL_COMPUTED SINGLE
[09:17:51.749693] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2113732 Ay:-1297833 Az:164259674 Gx:-57395 Gy:-55100 Gz:12920 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153679,-79.6835876 σLat:2.7298m σLon:1.9223m SVs:16/7 SOL_COMPUTED SINGLE
[09:17:54.173780] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2118941 Ay:-1159338 Az:164391534 Gx:-20055 Gy:-56353 Gz:6300 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153488,-79.6835410 σLat:2.7458m σLon:2.0028m SVs:16/7 SOL_COMPUTED SINGLE
[09:17:56.788812] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2103075 Ay:-1207351 Az:164231558 Gx:13075 Gy:112937 Gz:69900 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153734,-79.6839653 σLat:1.6681m σLon:1.6294m SVs:15/15 SOL_COMPUTED SINGLE
[09:17:59.283585] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2247804 Ay:-1193682 Az:164405590 Gx:42104 Gy:27648 Gz:19024 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153735,-79.6839644 σLat:1.6681m σLon:1.6243m SVs:15/15 SOL_COMPUTED SINGLE
[09:18:01.987616] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2215347 Ay:-1239988 Az:164346493 Gx:572 Gy:4960 Gz:25154 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153738,-79.6839636 σLat:1.6686m σLon:1.6290m SVs:15/15 SOL_COMPUTED SINGLE
[09:18:04.192418] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2360225 Ay:-1256077 Az:164439232 Gx:-21434 Gy:60689 Gz:52324 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153451,-79.6835118 σLat:2.7193m σLon:1.8441m SVs:16/7 SOL_COMPUTED SINGLE
[09:18:06.817990] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2282729 Ay:-1232309 Az:164320326 Gx:1177 Gy:-21297 Gz:-7581 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153743,-79.6839615 σLat:1.6685m σLon:1.6206m SVs:15/15 SOL_COMPUTED SINGLE
[09:18:09.428147] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2235244 Ay:-1255392 Az:164388717 Gx:-24720 Gy:-17423 Gz:30814 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153747,-79.6839604 σLat:1.6689m σLon:1.6191m SVs:15/15 SOL_COMPUTED SINGLE
