[09:32:12.308300] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-880179 Ay:-2626672 Az:164409629 Gx:30901 Gy:161174 Gz:-6471 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153832,-79.6839497 σLat:1.7340m σLon:1.8121m SVs:14/13 SOL_COMPUTED SINGLE
[09:32:13.736761] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-1104928 Ay:-2509291 Az:164413267 Gx:14281 Gy:-43432 Gz:-2350 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153921,-79.6839317 σLat:1.8103m σLon:1.5866m SVs:16/14 SOL_COMPUTED SINGLE
[09:32:15.082437] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-823974 Ay:-2526658 Az:164292243 Gx:14359 Gy:-32548 Gz:21033 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153836,-79.6839303 σLat:1.8014m σLon:1.5758m SVs:16/14 SOL_COMPUTED SINGLE
[09:32:17.903915] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-1082260 Ay:-2543681 Az:164381242 Gx:14973 Gy:110266 Gz:4421 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153945,-79.6839629 σLat:1.8097m σLon:1.6260m SVs:16/13 SOL_COMPUTED SINGLE
[09:32:19.971457] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-790962 Ay:-2609924 Az:164234011 Gx:-738 Gy:-77871 Gz:-34630 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153949,-79.6839631 σLat:1.8057m σLon:1.6162m SVs:16/13 SOL_COMPUTED SINGLE
[09:32:21.870514] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-913952 Ay:-2565398 Az:164359024 Gx:27519 Gy:2243 Gz:15078 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153948,-79.6839626 σLat:1.7976m σLon:1.5970m SVs:15/13 SOL_COMPUTED SINGLE
[09:32:23.807024] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-910491 Ay:-2583040 Az:164345688 Gx:20469 Gy:80581 Gz:4632 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153942,-79.6839608 σLat:1.7969m σLon:1.5937m SVs:15/13 SOL_COMPUTED SINGLE
[09:32:25.568320] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-873213 Ay:-2550445 Az:164324003 Gx:29863 Gy:51846 Gz:-34328 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153926,-79.6839572 σLat:1.7992m σLon:1.6003m SVs:16/14 SOL_COMPUTED SINGLE
[09:32:27.179034] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-1124025 Ay:-2595194 Az:164423944 Gx:49200 Gy:-96114 Gz:-17506 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153873,-79.6839597 σLat:1.7763m σLon:1.5109m SVs:16/14 SOL_COMPUTED SINGLE
[09:32:29.080257] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-874144 Ay:-2549480 Az:164371865 Gx:31772 Gy:49702 Gz:-12267 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153862,-79.6839587 σLat:1.7747m σLon:1.5059m SVs:16/14 SOL_COMPUTED SINGLE
[09:32:31.105685] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-1096007 Ay:-2504028 Az:164408180 Gx:24065 Gy:-15718 Gz:7396 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153945,-79.6839474 σLat:1.7733m σLon:1.4964m SVs:16/14 SOL_COMPUTED SINGLE
[09:32:33.041920] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-1068044 Ay:-2500179 Az:164382729 Gx:34976 Gy:18945 Gz:17851 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153954,-79.6839411 σLat:1.7719m σLon:1.4897m SVs:16/14 SOL_COMPUTED SINGLE
[09:32:34.861866] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-404803 Ay:-2630443 Az:164177821 Gx:-61209 Gy:-186406 Gz:63880 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153928,-79.6839459 σLat:1.7670m σLon:1.4716m SVs:16/14 SOL_COMPUTED SINGLE
[09:32:36.811159] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-500184 Ay:-2777871 Az:164086314 Gx:-27895 Gy:36230 Gz:-44397 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153909,-79.6839524 σLat:1.7620m σLon:1.4505m SVs:16/14 SOL_COMPUTED SINGLE
[09:32:38.712294] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-765620 Ay:-2390962 Az:164319215 Gx:119633 Gy:-242664 Gz:27251 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153877,-79.6839603 σLat:1.7635m σLon:1.4578m SVs:16/14 SOL_COMPUTED SINGLE
[09:32:41.055550] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-711578 Ay:-2757941 Az:164271124 Gx:-27686 Gy:206408 Gz:18424 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153801,-79.6839820 σLat:1.7641m σLon:1.4466m SVs:16/14 SOL_COMPUTED SINGLE
[09:32:42.851137] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-1029682 Ay:-2639961 Az:164346664 Gx:39534 Gy:67827 Gz:2742 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153821,-79.6839809 σLat:1.7624m σLon:1.4431m SVs:16/14 SOL_COMPUTED SINGLE
[09:32:44.765320] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-805059 Ay:-2766556 Az:164328720 Gx:7925 Gy:-63693 Gz:-20554 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153805,-79.6839928 σLat:1.7633m σLon:1.4433m SVs:16/14 SOL_COMPUTED SINGLE
