[09:41:31.835926] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:1047162 Ay:-486238 Az:164341319 Gx:54029 Gy:211572 Gz:-3639 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152727,-79.6839610 σLat:1.7480m σLon:1.8114m SVs:15/13 SOL_COMPUTED SINGLE
[09:41:33.985817] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:1014211 Ay:-587292 Az:164408691 Gx:37703 Gy:-59989 Gz:-7328 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152714,-79.6839616 σLat:1.7463m σLon:1.8134m SVs:15/13 SOL_COMPUTED SINGLE
[09:41:36.252410] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:1386352 Ay:-433595 Az:164384252 Gx:60202 Gy:61157 Gz:-28100 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152706,-79.6839618 σLat:1.7472m σLon:1.8136m SVs:15/13 SOL_COMPUTED SINGLE
[09:41:38.367877] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:1207413 Ay:-1073245 Az:164311059 Gx:-1366 Gy:34612 Gz:-422 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152711,-79.6839611 σLat:1.7564m σLon:1.8146m SVs:15/13 SOL_COMPUTED SINGLE
[09:41:40.573320] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:1192638 Ay:-739139 Az:164307506 Gx:-46728 Gy:63747 Gz:-22732 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152766,-79.6839446 σLat:1.7558m σLon:1.7838m SVs:15/13 SOL_COMPUTED SINGLE
[09:41:42.532197] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:825194 Ay:-784245 Az:164569134 Gx:46485 Gy:-409012 Gz:30166 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152747,-79.6839474 σLat:1.7588m σLon:1.7817m SVs:15/13 SOL_COMPUTED SINGLE
[09:41:44.449418] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:977416 Ay:-439528 Az:164860120 Gx:161348 Gy:-141603 Gz:-44634 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152749,-79.6839457 σLat:1.7526m σLon:1.7665m SVs:17/14 SOL_COMPUTED SINGLE
[09:41:46.355284] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:1537969 Ay:-736420 Az:164147376 Gx:36154 Gy:141357 Gz:-11557 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152744,-79.6839426 σLat:1.7584m σLon:1.7667m SVs:17/14 SOL_COMPUTED SINGLE
[09:41:47.952735] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:1558932 Ay:-304938 Az:164345506 Gx:2203 Gy:162076 Gz:-32606 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152759,-79.6839356 σLat:1.7628m σLon:1.7629m SVs:17/14 SOL_COMPUTED SINGLE
[09:41:49.894076] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:1024198 Ay:-268544 Az:164425261 Gx:151815 Gy:185800 Gz:56751 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152901,-79.6838827 σLat:1.9626m σLon:1.7755m SVs:15/13 SOL_COMPUTED SINGLE
[09:41:51.795523] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:53885951 Ay:-4035074 Az:153204787 Gx:8332513 Gy:361606694 Gz:2691036 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152916,-79.6839126 σLat:1.9505m σLon:1.7682m SVs:15/14 SOL_COMPUTED SINGLE
