[09:59:39.163079] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2818290 Ay:-3959725 Az:164312204 Gx:-11753 Gy:91816 Gz:-38041 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153749,-79.6838605 σLat:1.5395m σLon:1.4830m SVs:15/14 SOL_COMPUTED SINGLE
[09:59:41.473434] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2428758 Ay:-3440826 Az:164520095 Gx:90302 Gy:12993 Gz:25164 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153761,-79.6838547 σLat:1.5353m σLon:1.4750m SVs:15/14 SOL_COMPUTED SINGLE
[09:59:43.645664] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2710048 Ay:-3476154 Az:164303660 Gx:-27346 Gy:361055 Gz:57138 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153769,-79.6838516 σLat:1.5303m σLon:1.4552m SVs:15/15 SOL_COMPUTED SINGLE
[09:59:45.952670] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2878430 Ay:-3520238 Az:164282663 Gx:18439 Gy:-12909 Gz:-57616 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153759,-79.6838560 σLat:1.5288m σLon:1.4495m SVs:15/15 SOL_COMPUTED SINGLE
[09:59:48.099612] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2851900 Ay:-3743583 Az:164338230 Gx:8844 Gy:80204 Gz:5149 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153747,-79.6838604 σLat:1.5309m σLon:1.4536m SVs:15/15 SOL_COMPUTED SINGLE
[09:59:50.293802] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2589035 Ay:-3767981 Az:164468291 Gx:80733 Gy:-38135 Gz:-49088 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153742,-79.6838634 σLat:1.5336m σLon:1.4553m SVs:15/15 SOL_COMPUTED SINGLE
[09:59:52.513987] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:4927899 Ay:-3858130 Az:163698289 Gx:44083 Gy:-203245 Gz:-86941 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153719,-79.6838674 σLat:1.5304m σLon:1.4542m SVs:15/15 SOL_COMPUTED SINGLE
[09:59:54.309235] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:3692400 Ay:-3646706 Az:163982883 Gx:59230 Gy:346323 Gz:10632 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153704,-79.6838714 σLat:1.5285m σLon:1.4513m SVs:15/15 SOL_COMPUTED SINGLE
[09:59:56.200377] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2894108 Ay:-3834229 Az:164334330 Gx:16542 Gy:210056 Gz:-22030 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153694,-79.6838735 σLat:1.5290m σLon:1.4515m SVs:15/15 SOL_COMPUTED SINGLE
[09:59:57.793198] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2767712 Ay:-4003255 Az:164341932 Gx:32587 Gy:152086 Gz:10470 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153699,-79.6838719 σLat:1.5296m σLon:1.4656m SVs:15/15 SOL_COMPUTED SINGLE
[09:59:59.340531] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2741427 Ay:-3735331 Az:164398928 Gx:64448 Gy:-15303 Gz:-20784 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153663,-79.6838842 σLat:1.5368m σLon:1.5054m SVs:14/14 SOL_COMPUTED SINGLE
