[11:04:58.663598] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:+0.0136 Ay:-0.2210 Az:+9.8277 Gyro(°/s) Gx:+0.0103 Gy:-0.0114 Gz:-0.0094 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153592,-79.6838465 σLat:1.3160m σLon:1.2453m SVs:18/18 SOL_COMPUTED SINGLE
[11:04:58.826819] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0114 Ay:-0.2221 Az:+9.8329 Gyro(°/s) Gx:-0.0045 Gy:+0.0263 Gz:+0.0069 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153575,-79.6838424 σLat:1.3118m σLon:1.2408m SVs:18/18 SOL_COMPUTED SINGLE
[11:04:59.059920] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0381 Ay:-0.2187 Az:+9.8446 Gyro(°/s) Gx:+0.0048 Gy:+0.0527 Gz:-0.0086 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153562,-79.6838388 σLat:1.3119m σLon:1.2350m SVs:18/18 SOL_COMPUTED SINGLE
[11:04:59.329255] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0364 Ay:-0.2252 Az:+9.8478 Gyro(°/s) Gx:+0.0246 Gy:-0.0268 Gz:-0.0048 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153558,-79.6838377 σLat:1.3156m σLon:1.2398m SVs:18/18 SOL_COMPUTED SINGLE
[11:04:59.524379] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0483 Ay:-0.2247 Az:+9.8520 Gyro(°/s) Gx:-0.0070 Gy:+0.0636 Gz:+0.0070 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153583,-79.6838433 σLat:1.3222m σLon:1.2595m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:00.020871] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0277 Ay:-0.2265 Az:+9.8412 Gyro(°/s) Gx:+0.0274 Gy:-0.0563 Gz:-0.0103 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153549,-79.6838354 σLat:1.3165m σLon:1.2446m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:01.023335] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0290 Ay:-0.2157 Az:+9.8442 Gyro(°/s) Gx:-0.0300 Gy:+0.0348 Gz:-0.0060 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153534,-79.6838317 σLat:1.3235m σLon:1.2441m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:02.021302] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:+0.0081 Ay:-0.2068 Az:+9.8266 Gyro(°/s) Gx:-0.0104 Gy:+0.0328 Gz:-0.0062 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153519,-79.6838285 σLat:1.3153m σLon:1.2364m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:03.023795] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0296 Ay:-0.2094 Az:+9.8397 Gyro(°/s) Gx:+0.0126 Gy:+0.0121 Gz:+0.0022 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153517,-79.6838277 σLat:1.3243m σLon:1.2424m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:04.041933] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0328 Ay:-0.2262 Az:+9.8463 Gyro(°/s) Gx:+0.0020 Gy:+0.0186 Gz:-0.0160 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153504,-79.6838246 σLat:1.3201m σLon:1.2363m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:05.033514] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0207 Ay:-0.2202 Az:+9.8392 Gyro(°/s) Gx:+0.0440 Gy:-0.0114 Gz:-0.0023 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153496,-79.6838226 σLat:1.3261m σLon:1.2387m SVs:18/18 SOL_COMPUTED SINGLE
