[11:32:40.655741] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7505 Ay:-0.1677 Az:+9.8047 Gyro(°/s) Gx:-0.0042 Gy:-0.0073 Gz:+0.0110 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[11:32:41.599547] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7586 Ay:-0.1765 Az:+9.8025 Gyro(°/s) Gx:-0.0033 Gy:+0.0015 Gz:+0.0174 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[11:32:42.603693] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7600 Ay:-0.1809 Az:+9.8037 Gyro(°/s) Gx:-0.0050 Gy:+0.0043 Gz:+0.0089 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[11:32:43.603868] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7612 Ay:-0.1504 Az:+9.8142 Gyro(°/s) Gx:-0.0042 Gy:+0.0054 Gz:+0.0003 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[11:32:44.605500] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7595 Ay:-0.1743 Az:+9.8046 Gyro(°/s) Gx:-0.0088 Gy:+0.0301 Gz:+0.0052 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[11:32:45.603369] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7692 Ay:-0.1866 Az:+9.8007 Gyro(°/s) Gx:-0.0077 Gy:+0.0047 Gz:+0.0033 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[11:32:46.605951] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7634 Ay:-0.2089 Az:+9.8007 Gyro(°/s) Gx:+0.0024 Gy:+0.0090 Gz:+0.0264 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[11:32:47.607728] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7415 Ay:-0.1758 Az:+9.8153 Gyro(°/s) Gx:+0.0074 Gy:+0.0080 Gz:+0.0229 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[11:32:48.601684] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7618 Ay:-0.1604 Az:+9.7826 Gyro(°/s) Gx:-0.0171 Gy:-0.0081 Gz:+0.0106 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[11:32:49.602962] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7552 Ay:-0.1969 Az:+9.8131 Gyro(°/s) Gx:-0.0633 Gy:+0.0014 Gz:+0.0050 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[11:32:50.016840] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7569 Ay:-0.1468 Az:+9.8068 Gyro(°/s) Gx:-0.0395 Gy:+0.0051 Gz:-0.0063 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
