INSCONFIG  Profile:LAND  AlignMode:KINEMATIC  ANT1(m) X:1.5000 Y:0.0000 Z:0.4000 (±0.0500 ±0.0500 ±0.0500)  RBV(°) X:0.0000 Y:0.0000 Z:0.0000 (±3.0000 ±3.0000 ±3.0000)
INSCONFIG  Profile:LAND  AlignMode:KINEMATIC  ANT1(m) X:1.5000 Y:0.0000 Z:0.4000 (±0.0500 ±0.0500 ±0.0500)  RBV(°) X:0.0000 Y:0.0000 Z:0.0000 (±3.0000 ±3.0000 ±3.0000)
[15:21:52.350587] INS_INACTIVE                   | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:— Ay:— Az:— Gyro(°/s) Gx:— Gy:— Gz:— | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS —,— σLat:—m σLon:—m SVs:—/— — —
[15:21:53.349389] INS_INACTIVE                   | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:— Ay:— Az:— Gyro(°/s) Gx:— Gy:— Gz:— | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:21:54.349653] INS_INACTIVE                   | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:— Ay:— Az:— Gyro(°/s) Gx:— Gy:— Gz:— | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:21:55.348920] INS_INACTIVE                   | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1386 Ay:-0.2297 Az:+9.8409 Gyro(°/s) Gx:-0.0190 Gy:-0.0720 Gz:+0.0128 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:21:56.348616] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1767 Ay:-0.2405 Az:+9.8797 Gyro(°/s) Gx:+0.0734 Gy:+0.1060 Gz:+0.0384 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:21:57.349644] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1448 Ay:-0.2259 Az:+9.7996 Gyro(°/s) Gx:+0.0326 Gy:+0.0093 Gz:+0.0167 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:21:58.357047] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1592 Ay:-0.2318 Az:+9.7942 Gyro(°/s) Gx:+0.0011 Gy:-0.0691 Gz:+0.0278 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:21:59.346911] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1728 Ay:-0.1902 Az:+9.9696 Gyro(°/s) Gx:+0.0157 Gy:+0.0184 Gz:+0.0256 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:22:00.349665] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1211 Ay:-0.2337 Az:+9.7132 Gyro(°/s) Gx:+0.0061 Gy:-0.0210 Gz:+0.0108 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:22:01.350596] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1631 Ay:-0.2120 Az:+9.8569 Gyro(°/s) Gx:+0.0058 Gy:-0.0531 Gz:+0.0075 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:22:02.347394] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1360 Ay:-0.2311 Az:+9.8705 Gyro(°/s) Gx:+0.0232 Gy:+0.0341 Gz:+0.0090 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
